Gene	Tau	Tissue
AT1G07410	0.468084607479	pollen
AT1G07420	0.225886936009	receptacle
AT1G07430	0.764346742064	receptacle
AT1G07440	0.388627647024	receptacle
AT1G07450	0.808984412053	stage 12 inflorescence
AT1G07470	0.119950211057	dark-grown seedling
AT1G07473	0.929272380999	pollen
AT1G07476	1.0	pollen
AT1G07480	0.150436789864	dark-grown seedling
AT1G07485	0.750211382609	receptacle
AT1G07490	0.641930897831	receptacle
AT1G07500	0.951459514375	aerial
AT1G07510	0.259241652758	carpel
AT1G07520	0.816981689741	root
AT1G07530	0.28844125027	dark-grown seedling
AT1G07540	0.945407388672	stage 12 inflorescence
AT1G07550	0.996168151197	root
AT1G07560	0.907853426556	root
AT1G07570	0.390980582765	carpel
AT1G07590	0.386701916602	root
AT1G07600	0.400743585677	dark-grown seedling
AT1G07610	0.588466423221	root
AT1G07615	0.352880724373	carpel
AT1G07620	0.775205977942	aerial
AT1G07630	0.285873821546	root
AT1G07640	0.257308615313	receptacle
AT1G07645	0.779060748599	pollen
AT1G07650	0.355909482924	dark-grown seedling
AT1G07660	0.35448560889	carpel
AT1G07670	0.274883009664	carpel
AT1G07680	0.98455923178	root
AT1G07690	0.991867699578	dark-grown seedling
AT1G07700	0.278101997651	aerial
AT1G07702	1.0	light-grown seedling
AT1G07705	0.312694265452	carpel
AT1G07710	0.779049989751	root
AT1G07720	0.408534239224	aerial
AT1G07725	0.736671830212	pollen
AT1G07728	0.283986140014	dark-grown seedling
AT1G07730	0.814789442982	root apical meristem
AT1G07740	0.583673887377	carpel
AT1G07745	0.286822647112	dark-grown seedling
AT1G07747	0.996711185919	carpel
AT1G07750	0.318061317701	stage 12 inflorescence
AT1G07760	0.894118505502	root
AT1G07770	0.170763659712	carpel
AT1G07780	0.3243682554	carpel
AT1G07790	0.382293458717	carpel
AT1G07795	0.901255022567	root apical meristem
AT1G07810	0.268693509425	receptacle
AT1G07820	0.298595810821	carpel
AT1G07830	0.301460287077	carpel
AT1G07840	0.267263679774	carpel
AT1G07850	0.983359848585	stage 12 inflorescence
AT1G07860	0.790327106917	stage 12 inflorescence
AT1G07870	0.411346667927	carpel
AT1G07880	0.593526041371	receptacle
